time,Open,High,Low,Close,Volume,ema_20,ema_50,ema_200,rsi,MACD_36_72_24,MACDh_36_72_24,MACDs_36_72_24,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,atr,obv,PP,R1,R2,R3,S1,S2,S3
2024-01-12 10:00:00,35.06,35.152,35.004,35.014,3479,35.01264489058845,,,55.593066902972424,,,,34.87813978049404,35.0385,35.19886021950596,0.9153372404980853,0.4236094834633053,0.14086672904723882,25515.0,35.05666666666667,35.109333333333346,35.204666666666675,35.35266666666668,34.96133333333334,34.90866666666667,34.760666666666665
2024-01-12 14:00:00,35.014,35.028,34.872,34.971,3014,35.00867871053241,,,53.72940211852359,,,,34.88093630973951,35.03945,35.197963690260494,0.9047727076794387,0.2840880497844723,0.141756787988851,22501.0,34.957,35.042,35.113,35.269,34.886,34.801,34.645
2024-01-12 18:00:00,34.972,34.981,34.904,34.922,436,35.0004235952436,,,51.67318583048369,,,,34.893902537964394,35.04215000000001,35.19039746203562,0.8461093970296507,0.09476540660390405,0.13799030456288391,22065.0,34.93566666666667,34.967333333333336,35.01266666666667,35.089666666666666,34.89033333333334,34.85866666666667,34.78166666666667
2024-01-14 22:00:00,34.956,35.0,34.885,34.885,1273,34.989430871887066,,,50.16318798639884,,,,34.880557581437294,35.039,35.19744241856271,0.9043775139855996,0.014019031655167137,0.13666706020546282,20792.0,34.923333333333325,34.96166666666665,35.03833333333333,35.15333333333333,34.84666666666665,34.80833333333332,34.69333333333332
2024-01-15 02:00:00,34.882,34.887,34.764,34.862,1407,34.977294598374016,,,49.23162939051235,,,,34.86223944766856,35.0346,35.20696055233144,0.9839447422344793,-0.000694612732775332,0.1358881706112931,19385.0,34.83766666666667,34.91133333333334,34.96066666666667,35.083666666666666,34.78833333333334,34.71466666666667,34.591666666666676
2024-01-15 06:00:00,34.868,34.968,34.826,34.955,2064,34.97517130329078,,,52.91457592509615,,,,34.8572672668326,35.03245,35.207632733167394,1.000116938252372,0.27894510891666685,0.13623325164753824,21449.0,34.916333333333334,35.00666666666667,35.05833333333334,35.20033333333334,34.864666666666665,34.77433333333333,34.63233333333333
2024-01-15 10:00:00,34.954,34.978,34.94,34.955,1095,34.973250226786895,,,52.914575925096145,,,,34.85543984241557,35.021699999999996,35.18796015758442,0.9494693723287273,0.299410751893075,0.1307354991555215,21449.0,34.95766666666667,34.97533333333334,34.99566666666667,35.033666666666676,34.937333333333335,34.919666666666664,34.88166666666666
2024-01-15 14:00:00,34.951,35.015,34.951,34.99,1263,34.974845443283385,,,54.26930551167408,,,,34.85580255871929,35.0219,35.187997441280714,0.948534724162379,0.4039720306525137,0.12703147803620599,22712.0,34.98533333333334,35.01966666666667,35.04933333333334,35.11333333333334,34.95566666666667,34.92133333333334,34.85733333333334
2024-01-15 18:00:00,34.99,34.99,34.953,34.965,53,34.9739077820183,,,53.13188236191915,,,,34.850643593686065,35.01845,35.18625640631394,0.9583885426907013,0.34073909580066164,0.12207354808966973,22659.0,34.96933333333334,34.985666666666674,35.00633333333334,35.04333333333334,34.948666666666675,34.93233333333334,34.89533333333334
2024-01-15 22:00:00,34.936,35.151,34.93,35.126,1123,34.98839275515942,,,58.90920914825242,,,,34.84881743884413,35.02005,35.191282561155866,0.9779115744030535,0.8093745701308428,0.1274810293509662,23782.0,35.068999999999996,35.20799999999999,35.29,35.511,34.98699999999999,34.84799999999999,34.62699999999999
2024-01-16 02:00:00,35.125,35.176,35.097,35.156,1515,35.00435534990614,,,59.869381985305544,,,,34.84428162677499,35.023900000000005,35.203518373225016,1.025690304192345,0.8677240741806238,0.12484950988577544,25297.0,35.143,35.189,35.222,35.301,35.11,35.064,34.985
2024-01-16 06:00:00,35.153,35.416,35.078,35.371,2991,35.03927388801032,,,65.83005347347307,,,,34.8057981964317,35.04075,35.2757018035683,1.341020403777319,1.2028037133241154,0.13634263518274,28288.0,35.288333333333334,35.498666666666665,35.62633333333333,35.96433333333332,35.16066666666667,34.95033333333334,34.612333333333346
2024-01-16 10:00:00,35.374,35.416,35.322,35.356,2392,35.069438279628386,,,65.12704224704831,,,,34.78766714076348,35.05865,35.32963285923652,1.545883023085706,1.04865093836151,0.13407380651118384,25896.0,35.364666666666665,35.40733333333333,35.45866666666666,35.55266666666665,35.31333333333333,35.27066666666667,35.17666666666668
2024-01-16 14:00:00,35.356,35.443,35.296,35.44,4195,35.10472987204473,,,67.17206618330827,,,,34.759980042312904,35.07785,35.39571995768709,1.8123685327754926,1.0696511910642625,0.1347623196365526,30091.0,35.393,35.49,35.54,35.687,35.343,35.246,35.099000000000004
2024-01-16 18:00:00,35.438,35.452,35.396,35.416,284,35.13437464613571,,,66.01982158479784,,,,34.74163360553474,35.09115,35.44066639446526,1.9920486758927065,0.9647135372533785,0.13059060129807343,29807.0,35.42133333333333,35.44666666666666,35.47733333333333,35.533333333333324,35.39066666666666,35.36533333333333,35.309333333333335
2024-01-16 22:00:00,35.427,35.536,35.391,35.46,1027,35.16538658459898,,,67.09765832531156,,,,34.721716318655886,35.10325,35.48478368134412,2.173779814371127,0.9675209784142687,0.1313497492236174,30834.0,35.46233333333333,35.53366666666667,35.60733333333334,35.75233333333334,35.388666666666666,35.31733333333333,35.17233333333333
2024-01-17 02:00:00,35.46,35.624,35.43,35.61,2141,35.20773071939907,35.00842,,70.42859679989226,,,,34.68950431428091,35.1299,35.57029568571909,2.5072413284358293,1.0450780009528031,0.13463379453931185,32975.0,35.55466666666667,35.67933333333334,35.74866666666667,35.942666666666675,35.48533333333334,35.36066666666667,35.166666666666664
